Data,MSCI World Equal Weighted
07/2002,15997.477731586292
08/2002,15809.806484934217
09/2002,14032.823299728383
10/2002,14514.300554390324
11/2002,15412.605305024746
12/2002,14080.081181589823
01/2003,13387.772243393236
02/2003,13193.47822598267
03/2003,12878.741576543516
04/2003,13810.555917871976
05/2003,14062.201854725858
06/2003,15021.200869696788
07/2003,15673.568766040991
08/2003,17142.688858240494
09/2003,16508.70903339212
10/2003,17720.05852258547
11/2003,17354.72888435649
12/2003,17502.315556783033
01/2004,18318.510528287537
02/2004,18667.53931243886
03/2004,19365.063533631856
04/2004,19207.409512746235
05/2004,18907.44746539422
06/2004,19599.49458320578
07/2004,19034.874728918006
08/2004,19040.746737792022
09/2004,19119.623600266088
10/2004,19210.58575409331
11/2004,19692.674720706385
12/2004,20060.43755600935
01/2005,20678.234074972475
02/2005,21042.91707797389
03/2005,21090.009981456482
04/2005,20493.73800520566
05/2005,21840.85553868987
06/2005,22685.562897092277
07/2005,23559.859373187057
08/2005,23776.06220265048
09/2005,24888.877769737162
10/2005,24133.20728252815
11/2005,25563.666514769502
12/2005,26566.53570904731
01/2006,27340.664371165058
02/2006,27902.76985747874
03/2006,28211.797772430993
04/2006,28130.89860293438
05/2006,26250.684675265253
06/2006,26376.597425532713
07/2006,26063.962245360548
08/2006,26676.71054027592
09/2006,27398.692990832915
10/2006,28357.50981069624
11/2006,28223.105830404213
12/2006,28938.9676338047
01/2007,29972.898122051927
02/2007,29691.344480072203
03/2007,30079.16814091365
04/2007,30540.504355878482
05/2007,31625.941262946206
06/2007,31173.491207448536
07/2007,30070.904615179606
08/2007,29644.10735699248
09/2007,29743.25638230973
10/2007,30102.417049363266
11/2007,27906.588066503115
12/2007,27441.843127502365
01/2008,25166.153349284894
02/2008,24827.181783948425
03/2008,23520.315437026675
04/2008,24981.090699764864
05/2008,25530.300482637365
06/2008,22806.340120103578
07/2008,22302.03727463841
08/2008,23318.066122870154
09/2008,20750.80141705146
10/2008,18110.14783099398
11/2008,17285.68177167217
12/2008,16766.060622049532
01/2009,16663.906416793892
02/2009,15100.370436908268
03/2009,15661.186673456417
04/2009,18327.093799860435
05/2009,19074.565071052275
06/2009,19072.637833688288
07/2009,20696.630268569337
08/2009,21542.083348147364
09/2009,21976.503746091774
10/2009,21089.584311844937
11/2009,21379.81218246025
12/2009,22894.54787642401
01/2010,22944.904036618802
02/2010,24007.692178168138
03/2010,25753.07127357761
04/2010,26340.469772495806
05/2010,25773.670953022403
06/2010,25122.137190506564
07/2010,25561.1520057438
08/2010,25331.35947700464
09/2010,25892.121260115215
10/2010,26383.980731631575
11/2010,27673.210971987537
12/2010,29051.95879224656
01/2011,28854.161625158788
02/2011,29514.244088916155
03/2011,28504.72667859091
04/2011,28293.58174155741
05/2011,28698.12321795674
06/2011,28124.422931470937
07/2011,28055.692358291315
08/2011,25653.359993686518
09/2011,24811.889646582466
10/2011,26210.77421008096
11/2011,26355.664619325347
12/2011,27076.953437468146
01/2012,28271.918814905406
02/2012,29103.01259930027
03/2012,29532.706470530957
04/2012,29353.49537277286
05/2012,28157.21904180344
06/2012,29103.541004852377
07/2012,29915.57036142326
08/2012,29860.679433820573
09/2012,30024.62286550177
10/2012,29876.790174868223
11/2012,30394.613866773434
12/2012,30821.66302207903
01/2013,31560.75876056725
02/2013,32763.570407068462
03/2013,34448.951834059335
04/2013,34949.341032759425
05/2013,34795.472864266376
